global_seqlen/max,global_seqlen/min,timing_per_token_ms/values,critic/score/min,"train/action_is_valid/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",actor/ppo_kl,critic/values/mean,"train/collision_count/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",timing_per_token_ms/adv,mfu/actor,critic/kl,critic/values/max,critic/vf_loss,critic/vpred_mean,critic/advantages/mean,response_length/min,timing_s/values,"train/action_is_effective/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",response_length/clip_ratio,timing_s/adv,prompt_length/mean,_timestamp,critic/vf_explained_var,prompt_length/max,timing_per_token_ms/update_actor,"train/total_collisions/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",timing_s/ref,_runtime,timing_per_token_ms/ref,mfu/critic,_step,critic/returns/min,global_seqlen/balanced_max,timing_s/update_actor,actor/pg_loss,critic/rewards/min,critic/returns/max,critic/advantages/max,"train/step/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",critic/rewards/mean,"train/score/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",critic/kl_coeff,timing_s/update_critic,critic/rewards/max,critic/values/min,actor/pg_clipfrac,prompt_length/min,response_length/mean,critic/vf_clipfrac,actor/grad_norm,timing_s/step,critic/grad_norm,critic/advantages/min,global_seqlen/mean,timing_s/gen,actor/entropy_loss,critic/lr,timing_per_token_ms/gen,critic/score/mean,timing_s/old_log_prob,global_seqlen/minmax_diff,"train/done/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",global_seqlen/balanced_min,prompt_length/clip_ratio,"train/success/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",actor/lr,timing_per_token_ms/update_critic,critic/score/max,response_length/max,"train/potential_score/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",critic/returns/mean,"val/action_is_valid/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)","val/step/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)","val/score/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",val/generations,"val/potential_score/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)","val/total_collisions/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)","val/action_is_effective/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)","val/collision_count/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)",timing_s/testing,"val/success/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)","val/done/ActiveSpatialEnvConfig(render_backend=local,step_translation=0.2,step_rotation_deg=10.0,max_actions_per_step=5)"
43832,43327,0.04104909475281183,-0.4096975326538086,1.0,-1.0313276106899139e-05,-0.052734375,0.04375,0.003253893682810787,0.42468467430334556,-0.20981436967849731,4.3125,0.06970126330270432,-0.0052490234375,0.2830103039741516,410,7.141680455999449,0.9875,0,0.5661091690417379,4894.3125,1773714853.4379885,-23.291297912597656,4912,0.10766150117551834,0.4375,7.260986377019435,43462.216311092,0.04173484372837776,0.44267624709419173,54,-0.448311984539032,43496,18.730840313015506,0.017800873494707048,0.6312164664268494,0.6590952277183533,4.020742416381836,10.0,1.5024621486663818,0.36240762784562697,0.001,17.74261998804286,2.0867931842803955,-6.6875,0.005542308383155614,4875,542.53125,0.005407653748989105,4.357046127319336,574.165848191129,40.114073276519775,-6.093600273132324,43494.75,515.0790332981851,0.43242743238806725,1e-05,29.66874219792553,0.3624076247215271,7.631277808919549,505,0.0,43494,0,0.0,1e-06,0.10198138848966175,0.6844133734703064,668,0.20885713090747443,0.019284062087535858,,,,,,,,,,,
43975,43327,0.04068321218208843,-1.2321140766143799,0.9906250000000001,0.0004184493445791304,-0.57421875,0.05625,0.0033159139826387913,0.4323180744874035,-0.20475733280181885,3.515625,0.15527970902621746,-0.35546875,-2.6434085369110107,440,7.094094441039488,0.96875,0,0.5782091848086566,4895.6875,1773715377.1279175,-26.102855682373047,4922,0.10592196621051612,0.5625,7.0206721178255975,44008.025524092,0.04026214984932156,0.43893589364221763,55,-1.295499324798584,43595,18.47003693599254,-0.19654185231775045,-0.06907309591770172,0.4288140535354614,2.9930779933929443,10.0,1.4210577011108398,0.3066003777046816,0.001,18.045378556009382,2.3989527225494385,-6.40625,0.006090328388381749,4880,553.5,0.0,11.209144592285156,523.6729569188319,80.2024154663086,-9.874303817749023,43593.5,465.0590783630032,0.44646209105849266,1e-05,26.256723033141554,0.3066003620624542,7.392745485994965,648,0.0,43592,0,0.0,1e-06,0.10348663537000574,0.46017277240753174,720,0.24118671828755653,0.015794631093740463,,,,,,,,,,,
43317,41374,0.0420542546327937,0.2234152853488922,0.996875,0.0007339306430367287,-0.05224609375,0.0,0.003153791293799388,0.420914948077513,-0.20318752527236938,3.578125,0.06296061456669122,0.42083740234375,-0.5327225923538208,285,7.200992075027898,0.9510416666666668,0,0.540026837028563,4836.15625,1773715922.9367943,-20.29281997680664,4907,0.10884091417960563,0.0,7.297680749092251,44595.328306303,0.042618922678091295,0.43429967452433127,56,-0.3382747173309326,43268,18.636938575888053,-0.03860106784850359,0.6733095645904541,0.6503884196281433,4.143820285797119,9.875,1.5002961158752441,0.4152370293612344,0.001,17.885324456030503,1.9868546724319458,-6.09375,0.005803507287055254,3111,514.8125,0.011470394762000069,4.012792587280273,545.7897681719624,47.11253643035889,-5.895828723907471,42807.75,486.66985846101306,0.42543788999319077,1e-05,29.541693484339753,0.4152370095252991,7.5447743439581245,1943,0.03125,41434,0,0.0,1e-06,0.10445143961099627,0.6958904266357422,647,0.24524545863932348,0.020895104855298996,,,,,,,,,,,
43694,41064,0.03963785534910474,0.04609568044543266,0.996875,-6.248056888580322e-05,0.67578125,0.01875,0.003283419908486771,0.4281867471824255,-0.2124565839767456,4.6875,0.23962730600032955,0.92578125,3.2938287258148193,301,6.803996422095224,0.971875,0,0.5636121609713882,4824.5,1773716510.2397163,-13.93307876586914,4909,0.10690978585384663,0.1875,7.2496983332093805,45168.305859635,0.04223436874881669,0.44392864877307864,57,-0.08872640132904053,43472,18.351492380956188,-0.3126106048002839,0.15108302235603333,1.2290242910385132,5.265519618988037,9.84375,1.5696913003921509,0.4308124217071976,0.001,17.47221232810989,2.485846757888794,-5.78125,0.005216092220507562,2661,539.6875,0.0,5.597418785095215,586.4352769840043,105.90545272827148,-6.805446624755859,42913.5,528.3526398749091,0.41144173592329025,1e-05,30.593667624488077,0.43081238865852356,7.618562187999487,2630,0.03125,41245,0,0.0,1e-06,0.10178738816520379,1.2572717666625977,690,0.2588821441674321,0.024094153195619583,,,,,,,,,,,
43706,43442,0.040990325373610505,0.250068724155426,0.996875,0.0006202423246577382,0.37109375,0.009375000000000001,0.0033421742047624234,0.4328947487042539,-0.2575693726539612,4.46875,0.041086990328039974,0.35382080078125,3.3327131271362305,442,7.146048374008387,0.978125,0,0.5826579399872571,4894.78125,1773717083.2173352,-18.510337829589844,4909,0.10596302605959844,0.09375,7.171083792112768,45708.750861989,0.04113393060551678,0.4460218268470433,58,0.0,43586,18.473064148100093,-0.14788853283971548,1.3014825582504272,0.6978363394737244,7.298651218414307,10.0,1.8118945360183716,0.4079455154559948,0.001,17.733597417827696,2.7770047187805176,-5.8125,0.005103589384816587,4879,553.1875,0.024449376855045557,2.6900382041931152,572.9543644629885,39.19924736022949,-11.947744369506836,43583.75,514.3433251939714,0.4423182047903538,1e-05,29.055661800585888,0.4079454839229584,7.491827261867002,264,0.0,43581,0,0.0,1e-06,0.1017213836454395,0.7300000190734863,671,0.24362279826829394,0.022380203008651733,,,,,,,,,,,
43250,43023,0.04123703852843892,0.34276047348976135,0.996875,0.00099708740162896,-0.3125,0.0,0.003083427502800308,0.4219404771716272,-0.25601911544799805,4.21875,0.06968925939872861,-0.090972900390625,-2.750706434249878,404,7.120688101975247,0.978125,0,0.5324370109010488,4892.125,1773717623.6623929,-24.077390670776367,4911,0.107698505904631,0.0,7.079881596146151,46282.497850468,0.041000721556120105,0.43872098494108497,59,-0.30176854133605957,43170,18.597054904093966,-0.3366811121813953,0.9864071011543274,0.8097941279411316,6.277299404144287,10.0,1.8115054368972778,0.4303329056668178,0.001,17.749467582209036,3.057431221008301,-6.0,0.0035973775084130466,4871,504.03125,0.0,4.890529632568359,540.4279284321237,46.999671936035156,-5.81297492980957,43169.25,481.777649641037,0.42235665023326874,1e-05,29.87027401829233,0.43033289909362793,7.555915649980307,227,0.0,43169,0,0.0,1e-06,0.10278999277384386,0.8487918376922607,668,0.26122578703493504,0.020373543724417686,,,,,,,,,,,
43392,43157,0.04235669944201227,-0.10969754308462143,1.0,0.00019473595602903515,0.003021240234375,0.0125,0.003080872076721501,0.4259545541373286,-0.27116990089416504,4.125,0.005762671877164394,0.2786865234375,0.1560492068529129,388,7.32847142405808,0.99375,0,0.5330463249702007,4892.25,1773718197.409171,-17.574941635131836,4907,0.10760802102598237,0.125,7.473327703075483,46851.960260988,0.043193931863017045,0.4384856400316001,60,-0.14143157005310059,43255,18.618124581873417,0.12964653014205396,1.406538963317871,1.17402982711792,6.043034553527832,10.0,1.889569878578186,0.4235126789700068,0.001,17.855347419157624,2.6770553588867188,-5.96875,0.0036006816080771387,4878,514.5625,0.0,8.646098136901855,573.7267375809606,9.059876918792725,-4.893863201141357,43254.5,514.4884261051193,0.3627311959862709,1e-05,31.245501403201708,0.42351263761520386,7.41754683596082,235,0.0,43254,0,0.0,1e-06,0.1031993631827765,1.2094604969024658,633,0.21816352231651676,0.021418362855911255,,,,,,,,,,,
43248,42964,0.04241930926947905,0.09872141480445862,0.99375,-2.1017058315919712e-05,-0.1259765625,0.021875000000000002,0.0030276483100386007,0.3804221574651417,-0.288053959608078,4.15625,0.03561422319035046,0.16058349609375,-0.8117052912712097,405,7.307744085090235,0.984375,0,0.5215850849635899,4891.90625,1773718766.871836,-16.12648582458496,4907,0.11969398455467155,0.21875,7.327001206809655,47429.911191517,0.04253109120824765,0.43406356897353887,61,-0.03444792330265045,43069,20.620161495171487,-0.28846862248610705,1.0192348957061768,0.89674311876297,4.951362609863281,10.0,1.9796828031539917,0.4292317576404374,0.001,17.938589315861464,2.898435592651367,-6.0,0.003683954942971468,4876,491.65625,0.0,4.064399719238281,569.440678013023,14.694783210754395,-6.160836696624756,43068.5,508.04705358087085,0.36214714497327805,1e-05,32.29181043544593,0.429231733083725,7.6634080649819225,284,0.0,43068,0,0.0,1e-06,0.10412824521321537,0.9124682545661926,637,0.2581932444141368,0.023363787680864334,,,,,,,,,,,
43394,41417,0.04165886006198823,-0.23160997033119202,0.996875,-0.00037293483001121785,0.185546875,0.021875000000000002,0.003152812367401529,0.4245571848941152,-0.269521027803421,4.5625,0.04163541505113244,0.46875,0.9999157786369324,341,7.13962041400373,0.9760416666666667,0,0.5403384419623762,4838.90625,1773719344.8225029,-14.627433776855469,4935,0.10821664090904996,0.21875,6.970452976878732,48019.146780276,0.04067178761533368,0.4392133725798783,62,-0.3195112943649292,43279,18.54649256891571,-0.14862736873328686,0.8437215685844421,1.0902855396270752,4.134029388427734,9.875,1.8644189834594727,0.4202469130967661,0.001,17.714293268043548,2.8319149017333984,-5.9375,0.005108378769364208,3121,516.8125,0.0,4.3105244636535645,577.9321940429509,34.63344764709473,-3.8720550537109375,42845.75,519.7015825768467,0.3917858190834522,1e-05,31.4246935891188,0.4202468991279602,7.305943136103451,1977,0.03125,41553,0,0.0,1e-06,0.10336085415731752,1.1254615783691406,672,0.22762910732408112,0.0232559647411108,,,,,,,,,,,
43700,43415,0.040208389431912565,-0.19036981463432312,1.0,0.0002205482069257414,-0.02099609375,0.015625,0.003301572357425413,0.39373432858630353,-0.3105626106262207,4.125,0.007414225809043273,0.261962890625,-0.29339176416397095,412,7.000883725937456,1.0,0,0.5748532710131258,4895.21875,1773719934.0583112,-6.772122383117676,4905,0.1158849642939205,0.15625,7.302254400216043,48589.622788225,0.04193926083459807,0.4287001714691966,63,-0.22608602046966553,43580,20.17731055803597,0.3374590128660202,1.3327436447143555,1.451980471611023,3.815181016921997,10.0,2.234473943710327,0.547186269909322,0.001,18.43429761286825,3.050476312637329,-6.59375,0.002557529165642336,4878,545.875,0.0,8.65655517578125,589.2202653049026,12.069814205169678,-2.6793365478515625,43528.75,528.2709916720632,0.3463796842843294,1e-05,30.242213858029725,0.5471862554550171,7.4491627279203385,285,0.0,43506,0,0.0,1e-06,0.105874264784012,1.4865155220031738,809,0.2812432505302321,0.03423510864377022,,,,,,,,,,,
